Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2024,2025
Baccharis pilularis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,0,2,1,1,1,2
Baccharis salicifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,0,2,0,1,1,3
Batrachoseps nigriventris,Not Found,Unknown,Unknown,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Batrachoseps,0,1,0,0,0,0
Bellis perennis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,1,0,0,0,0,0
Blepharipoda occidentalis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Decapoda,Blepharipodidae,Blepharipoda,0,0,0,0,1,0
Bombus melanopygus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0,1,0,0,3,0
Bombus vosnesenskii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,0,0,0,0,1,0
Bombycilla cedrorum,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Bombycillidae,Bombycilla,4,1,2,8,0,2
Borago officinalis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Borago,1,0,0,0,0,0
Botaurus lentiginosus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,2,0,0,0,0,0
Branta canadensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,2,4,3,3,4,3
Bubo virginianus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Strigiformes,Strigidae,Bubo,0,0,0,0,0,1
Bucephala albeola,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,4,4,5,5,3,3
Bulla gouldiana,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Cephalaspidea,Bullidae,Bulla,0,0,0,1,0,0
Buteo jamaicensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,5,5,8,9,8,7
Buteo lineatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,0,1,0,1,3,0
Cakile maritima,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,0,0,0,1,1,0
Calidris alba,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,1,1,6,4,5,2
Calidris canutus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,0,0,1,0,0,0
Calidris mauri,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,1,0,0,0,2,1
Calidris minutilla,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,0,1,0,1,4,0
Calidris virgata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,0,0,0,1,1,0
Calypte anna,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,2,6,1,4,0,5
Camissoniopsis cheiranthifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Camissoniopsis,0,0,1,1,1,0
Canis latrans,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,0,0,1,0,0,0
Cardellina pusilla,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,0,0,2,0,0,0
Carpobrotus chilensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Carpobrotus,0,0,0,1,0,0
Catharus guttatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,0,3,1,0,0,2
Caudina arenicola,Not Found,Unknown,Unknown,Animalia,Echinodermata,Holothuroidea,Molpadida,Caudinidae,Caudina,0,2,0,1,6,0
Centaurea melitensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,1,0,0,0,0,0
Ceratitis capitata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,0,0,1,0,0,0
Cerithideopsis californica,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Unknown,Potamididae,Cerithideopsis,0,0,1,0,0,1
Charadrius semipalmatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,0,0,1,0,1,0
Charadrius vociferus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,0,1,1,0,0,0
Chroicocephalus philadelphia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,0,1,0,0,0,0
Circus cyaneus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,1,7,2,5,0,0
Cistothorus palustris,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,0,0,0,0,1,0
Clangula hyemalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,0,0,0,0,1,0
Cleomella arborea,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Cleomaceae,Cleomella,0,0,0,2,0,0
Cochlicella barbara,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Geomitridae,Cochlicella,0,0,0,1,0,0
Colaptes auratus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,0,2,2,5,2,2
Columba livia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,12,1,4,5,0,1
Commelina benghalensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Commelinales,Commelinaceae,Commelina,0,0,1,0,0,0
Coprinus comatus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,1,0,0,0,0,0
Cornu aspersum,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,0,1,5,0,6,0
Corvus brachyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,6,0,3,3,2,2
Corvus corax,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,0,0,0,0,0,1
Cotula australis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula,0,0,0,0,1,0
Crotalus oreganus,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Viperidae,Crotalus,0,0,0,0,2,0
Croton californicus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,1,0,0,0,0,0
Cycloneda sanguinea,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,0,1,0,0,0,0
Danaus plexippus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,4,2,5,0,4,1
Datura wrightii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,0,0,0,0,0,1
Deroceras laeve,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,0,1,0,0,1,0
Didelphis virginiana,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,0,1,0,0,1,0
Dione vanillae,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,0,0,0,0,0,1
Donax gouldii,Not Found,Unknown,Unknown,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,1,0,0,0,0,0
Dryobates nuttallii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,0,0,1,0,0,0
Dryobates pubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,0,2,1,2,0,2
Dysdera crocata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,0,0,0,0,0,2
Echium candicans,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,0,0,1,1,0,0
Egregia menziesii,Not Found,Unknown,Unknown,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,0,0,0,0,0,1
Egretta thula,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,6,8,1,6,1,0
Elanus leucurus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,1,2,2,4,0,0
Eleodes gracilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,0,0,1,0,0,0
Elgaria multicarinata,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Anguidae,Elgaria,0,0,0,0,1,0
Emerita analoga,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Decapoda,Hippidae,Emerita,0,0,1,0,1,0
Encelia californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Encelia,0,1,1,2,2,2
Erigeron glaucus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,0,0,0,1,1,0
Eriogonum fasciculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,0,0,0,0,1,0
Eriogonum parvifolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,0,0,0,1,0,1
Erodium moschatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,0,0,0,1,0,0
Erysimum capitatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum,1,0,0,0,0,0
Estigmene acrea,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Estigmene,0,0,2,0,0,0
Euphagus cyanocephalus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,0,1,3,0,0,0
Euphorbia peplus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,1,0,0,0,0,0
Euphorbia terracina,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,0,0,0,0,0,2
Falco peregrinus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,0,0,1,0,0,0
Falco sparverius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,0,4,6,0,1,6
Felis catus,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,0,1,0,0,0,0
Fulica americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,11,9,6,10,9,1
Gallinago delicata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,0,0,0,1,0,0
Gavia immer,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,1,0,0,0,1,0
Gavia pacifica,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,0,0,0,1,0,0
Gavia stellata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Gavia,0,0,0,0,3,0
Geothlypis trichas,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis,0,1,2,1,1,3
Glebionis coronaria,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Glebionis,0,0,0,0,3,0
Glossaulax reclusiana,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Glossaulax,0,0,1,0,0,0
Gryllodes sigillatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllodes,0,1,0,0,0,0
Gymnopilus luteofolius,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Gymnopilus,0,0,0,1,0,0
Gymnosporangium juniperi-virginianae,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Gymnosporangiaceae,Gymnosporangium,0,0,0,0,1,0
Haematopus bachmani,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,0,0,1,0,1,0
Haemorhous mexicanus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,6,4,0,1,6,3
Harmonia axyridis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,0,0,1,0,0,0
Helminthoglypta tudiculata,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Xanthonychidae,Helminthoglypta,0,1,0,0,0,0
Helminthotheca echioides,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helminthotheca,0,0,0,0,1,0
Heteromeles arbutifolia,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Heteromeles,0,1,6,1,2,7
Heterotheca grandiflora,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Heterotheca,0,0,0,1,0,0
Himantopus mexicanus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,1,1,0,0,0,0
Hippodamia convergens,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,0,1,1,0,1,0
Hirschfeldia incana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Hirschfeldia,0,0,0,0,0,1
Hypsypops rubicundus,Not Found,Unknown,Unknown,Animalia,Chordata,Unknown,Perciformes,Pomacentridae,Hypsypops,0,0,0,1,0,0
Icterus spurius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,1,0,0,0,0,0
Ischnura cervula,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura,0,0,0,0,1,0
Isocoma menziesii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Isocoma,0,0,0,1,2,1
Jadera haematoloma,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Jadera,0,0,0,0,0,2
Junco hyemalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,3,0,2,0,0,5
Laetiporus gilbertsonii,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,1,0,0,0,0,0
Larus argentatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,1,0,0,0,0,0
Larus brachyrhynchus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,1,0,0,2,21
Larus californicus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,4,3,1,1,0,4
Larus delawarensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,13,1,2,6,6,7
Larus fuscus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,0,0,0,0,2
Larus glaucescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,2,0,0,0,2,1
Larus glaucoides,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,0,0,0,0,2
Larus heermanni,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,9,1,6,10,8,5
Larus occidentalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,13,6,3,4,3,3
Larus smithsonianus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,0,0,0,0,1
Latrodectus geometricus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,0,0,2,0,0,1
Leiothlypis celata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,1,3,5,2,0,2
Leptoglossus zonatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus,0,0,0,0,1,0
Leratiomyces ceres,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Leratiomyces,1,1,1,3,1,1
Limnodromus scolopaceus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,1,0,1,0,0,1
Limonium perezii,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,0,0,1,0,0,0
Limosa fedoa,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,4,1,9,0,8,3
Linepithema humile,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,0,0,1,1,0,0
Lobularia maritima,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lobularia,0,0,0,0,0,1
Lonchura punctulata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,0,0,3,1,2,3
Lophodytes cucullatus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,0,0,1,1,0,1
Lupinus chamissonis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,1,0,0,0,0,0
Lupinus truncatus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lupinus,1,0,0,0,0,0
Lysimachia arvensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,0,0,0,0,1,0
Malosma laurina,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Malosma,0,1,0,0,0,2
Mareca americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,14,9,3,2,6,3
Mareca penelope,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,0,0,0,0,0,1
Mareca strepera,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,1,1,4,6,3,2
Megaceryle alcyon,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,2,0,0,3,0,0
Melanitta americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,1,0,0,0,0,0
Melanitta deglandi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,0,0,0,0,1,0
Melanitta perspicillata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,3,1,4,1,1,0
Melospiza lincolnii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,0,4,2,0,1,1
Melospiza melodia,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melospiza,2,1,1,2,4,2
Melozone crissalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,2,0,1,1,1,1
Menemerus bivittatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,0,0,1,0,0,0
Mephitis mephitis,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,0,1,0,0,1,0
Mergus merganser,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,0,0,0,1,0,0
