Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,2020,2021,2022,2023,2025
Cornu aspersum,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Cornu,33,17,1,19,0
Corvus brachyrhynchos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,8,10,21,12,0
Corvus corax,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,4,3,9,1,0
Cryptolaemus montrouzieri,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cryptolaemus,0,1,0,0,0
Danaus plexippus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,1,6,0,2,1
Didelphis virginiana,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Didelphimorphia,Didelphidae,Didelphis,1,1,0,0,0
Dione vanillae,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Dione,0,1,0,0,1
Disclisioprocta stellata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Disclisioprocta,1,0,0,0,0
Dryobates nuttallii,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,0,2,2,3,0
Dryobates pubescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Piciformes,Picidae,Dryobates,0,0,0,1,0
Dysdera crocata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,0,1,0,0,0
Egretta thula,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,0,0,2,1,0
Ehrharta erecta,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Ehrharta,0,1,0,0,0
Elgaria multicarinata,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Anguidae,Elgaria,2,0,0,0,0
Encelia californica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Encelia,0,0,0,0,1
Eriogonum fasciculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,0,0,0,0,1
Erodium moschatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Erodium,1,0,0,0,0
Euborellia annulipes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Dermaptera,Anisolabididae,Euborellia,1,0,0,0,1
Euphagus cyanocephalus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,1,0,1,0,0
Falco columbarius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,1,0,0,0,0
Falco peregrinus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,1,0,1,0,0
Falco sparverius,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,2,2,1,1,0
Felis catus,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,0,0,0,0,1
Fulica americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,1,2,2,2,5
Gryllodes sigillatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllodes,2,1,0,0,0
Habronattus pyrrithrix,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Habronattus,1,0,0,0,0
Haemorhous mexicanus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Haemorhous,14,8,23,12,0
Harmonia axyridis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,1,0,1,1,0
Hebeloma crustuliniforme,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hebeloma,0,0,0,1,0
Himantopus mexicanus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,2,2,1,1,0
Hylephila phyleus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Hylephila,0,0,0,0,1
Jadera haematoloma,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Rhopalidae,Jadera,1,0,0,0,0
Junco hyemalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,1,0,14,12,0
Laemostenus complanatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Laemostenus,0,1,0,0,0
Larus californicus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,1,1,0,4,0
Larus occidentalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,0,3,1,4,0
Latrodectus geometricus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,1,0,0,0,0
Leiothlypis celata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,2,3,2,12,1
Linepithema humile,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,0,1,0,0,0
Lon melane,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lon,0,0,0,0,1
Lonchura punctulata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,1,0,1,0,0
Malacothrix saxatilis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Malacothrix,0,0,1,0,0
Mareca americana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,0,1,2,2,6
Melozone crissalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Melozone,0,3,0,1,0
Menemerus bivittatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,1,1,1,0,0
Mentha spicata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,0,1,0,0,0
Mephitis mephitis,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,0,0,0,2,0
Mimus polyglottos,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,14,11,7,3,3
Molothrus ater,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,1,0,1,0,0
Novius cardinalis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Novius,0,2,0,0,0
Nycticorax nycticorax,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,0,0,1,0,0
Nymphalis antiopa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Nymphalis,1,0,0,0,0
Oxalis pes-caprae,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,0,1,0,0,0
Oxidus gracilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Diplopoda,Polydesmida,Paradoxosomatidae,Oxidus,0,0,0,0,1
Oxyura jamaicensis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,0,0,0,1,0
Panaeolus cinctulus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolus,0,0,0,1,0
Parietaria judaica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria,0,1,0,0,0
Passer domesticus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,11,12,13,3,0
Patagioenas fasciata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Patagioenas,0,0,6,11,0
Phainopepla nitens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Ptilogonatidae,Phainopepla,0,1,0,0,0
Phalacrocorax auritus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,0,0,2,1,2
Phalacrocorax brasilianus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,0,0,0,1,2
Phidippus audax,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,0,1,0,1,0
Phoebis marcellina,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Phoebis,0,0,1,0,0
Pholcus phalangioides,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,0,2,0,0,0
Pituophis catenifer,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Colubridae,Pituophis,0,0,0,1,0
Polistes exclamans,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes,1,0,0,0,0
Polygyra cereolus,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Stylommatophora,Polygyridae,Polygyra,10,1,0,6,0
Procyon lotor,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,0,1,0,0,0
Psaltriparus minimus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Psaltriparus,11,4,8,3,1
Regulus calendula,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,1,10,2,13,0
Rhus ovata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus,0,0,0,1,0
Ricinus communis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Ricinus,1,0,0,0,0
Salsola tragus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Salsola,0,0,0,0,1
Sayornis nigricans,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,18,18,19,12,1
Sayornis saya,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,5,3,0,1,0
Sceloporus occidentalis,Not Found,Unknown,Unknown,Animalia,Chordata,Squamata,Unknown,Phrynosomatidae,Sceloporus,1,3,0,1,0
Schistocerca nitens,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Schistocerca,0,0,0,0,1
Sciurus niger,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,3,1,0,0,1
Selasphorus rufus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,2,0,1,0,0
Selasphorus sasin,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,5,11,17,14,1
Setophaga auduboni,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,0,0,0,0,1
Setophaga coronata,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,16,23,23,14,1
Setophaga nigrescens,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,0,1,0,0,0
Setophaga townsendi,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,0,2,3,11,0
Sialia mexicana,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,4,5,8,5,0
Spatula cyanoptera,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,0,0,0,1,0
Spatula discors,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,0,0,0,1,0
Sphenophorus venatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Dryophthoridae,Sphenophorus,0,1,0,0,0
Spinus psaltria,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,5,6,13,6,0
Spinus tristis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus,2,0,2,0,0
Spizella passerina,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Spizella,0,3,1,0,0
Stagmomantis californica,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Stagmomantis,1,0,0,0,0
Stagmomantis limbata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Stagmomantis,0,0,0,0,2
Steatoda grossa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,0,1,0,0,0
Steatoda nobilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,1,3,0,0,0
Streptopelia decaocto,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,12,6,3,1,0
Strymon melinus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Strymon,0,1,0,0,0
Sturnella neglecta,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,1,0,0,0,0
Sturnus vulgaris,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,5,8,3,0,2
Taraxacum erythrospermum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,0,1,0,0,0
Taraxacum officinale,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,1,0,0,0,0
Thomomys bottae,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Rodentia,Geomyidae,Thomomys,2,0,0,1,0
Trachemys scripta,Not Found,Unknown,Unknown,Animalia,Chordata,Testudines,Unknown,Emydidae,Trachemys,0,0,0,0,3
Troglodytes aedon,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,0,0,0,1,0
Tyrannus verticalis,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,1,0,0,0,0
Tyrannus vociferans,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,9,5,8,5,1
Unknown,Not Found,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4,3,0,2,3
Vanessa atalanta,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,0,0,1,0,1
Vanessa cardui,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,1,0,0,0,0
Vidua macroura,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Viduidae,Vidua,1,0,0,0,0
Vireo huttoni,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,0,0,1,0,0
Vireo plumbeus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,0,0,0,3,0
Zenaida macroura,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Columbiformes,Columbidae,Zenaida,11,16,17,12,0
Zonotrichia leucophrys,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,8,5,5,1,0
Zosterops simplex,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,0,0,1,12,0
