Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Psittacula krameri,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacula,,1.0,3.0,,,3.0,1.0,2.0,2.0
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,2.0,1.0,,,,,,,
Lonicera periclymenum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,,1.0,,,,,,,
Hedera colchica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,,,,,2.0,,,1.0,
Sonchus oleraceus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,,,,2.0,3.0,,,,1.0
Impatiens glandulifera,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,,,,,1.0,,,,
Nectria cinnabarina,Not Found,Unknown,Unknown,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,,1.0,,,1.0,,,,
Succisa pratensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa,,,,,,,,1.0,
Lyomyces sambuci,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Lyomyces,,1.0,,,,,,,
Dipsacus fullonum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,,1.0,1.0,,,,,,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,,,1.0,,,1.0,,1.0
Quercus ilex,3116134,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,,,,1.0,,,2.0,1.0
Pleurotus ostreatus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,1.0,,,1.0,,,,,1.0
Garrulus glandarius,196469765,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Garrulus,5.0,3.0,1.0,,2.0,1.0,,,1.0
Zygiella x-notata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,,,,2.0,,,,,
Trametes gibbosa,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,,1.0,,,,,,,1.0
Hypochnicium punctulatum,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Hypochnicium,,1.0,,,,,,,
Rumex acetosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,,,,,1.0,,,,
Senecio vulgaris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,,,1.0,2.0,,,1.0,1.0
Ranunculus bulbosus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,,,,,,,,,1.0
Fulica atra,166239776,Near Threatened,Decreasing,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,1.0,,,3.0,,,,6.0,10.0
Orobanche hederae,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Orobanche,,,,,,,,1.0,
Brachythecium rutabulum,87732839,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium,,,,,,,1.0,,
Anthriscus sylvestris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,,4.0,,3.0,9.0,,,,4.0
Juncus effusus,65914179,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Juncaceae,Juncus,,,1.0,,1.0,,,,
Anser brachyrhynchus,166191820,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,,,1.0,,,,1.0,1.0
Periparus ater,264545478,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,3.0,1.0,1.0,1.0,,2.0,1.0,2.0,1.0
Nostoc commune,Not Found,Unknown,Unknown,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc,,,,,,,,1.0,
Quercus cerris,2296302,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,1.0,,,5.0,,,,1.0
Lewinskya affinis,87727290,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Lewinskya,,,,,,,,1.0,
Calliergonella cuspidata,87836375,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Pylaisiaceae,Calliergonella,,,,,1.0,,,,1.0
Boeremia hedericola,Not Found,Unknown,Unknown,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,,,,,,,,1.0,3.0
Chroicocephalus ridibundus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,3.0,2.0,4.0,4.0,1.0,1.0,,2.0,6.0
Accipiter nisus,210499136,Least Concern,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1.0,1.0,,,,2.0,2.0,3.0,1.0
Halyzia sedecimguttata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Halyzia,,,,3.0,,,,,
Lunularia cruciata,87714722,Least Concern,Stable,Plantae,Marchantiophyta,Marchantiopsida,Lunulariales,Lunulariaceae,Lunularia,,,,,,,,3.0,3.0
Streptopelia decaocto,166435449,Least Concern,Stable,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,6.0,1.0,4.0,3.0,1.0,3.0,6.0,6.0,
Buteo buteo,210507000,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,7.0,1.0,3.0,5.0,,4.0,1.0,,1.0
Pica pica,264575751,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,14.0,4.0,14.0,8.0,7.0,11.0,11.0,9.0,10.0
Lamium purpureum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,,,,,,,,3.0
Neuroterus saliens,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Neuroterus,,,,,,,,,1.0
Rhytisma acerinum,Not Found,Unknown,Unknown,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,Rhytisma,,,,,,,,,1.0
Aceria ilicis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Trombidiformes,Eriophyidae,Aceria,,,,,,,,1.0,
Peniophora cinerea,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,,1.0,,,,,,,
Mustela erminea,45203335,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,,,,,,1.0,,,
Aythya ferina,205288455,Vulnerable,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,2.0,,,1.0,,,,,
Sambucus nigra,88328586,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,,2.0,4.0,,6.0,,,,
Leycesteria formosa,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Leycesteria,,,,,,,,,1.0
Cirsium vulgare,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,,1.0,,,1.0,,,,
Coprinellus micaceus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,,,1.0,,,,,,
Dactylis glomerata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactylis,1.0,,,,1.0,,,,5.0
Tapesia lividofusca,Not Found,Unknown,Unknown,Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,Tapesia,1.0,,,,,,,,
Steatoda nobilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,,,,,,,,1.0,
Orbilia sarraziniana,Not Found,Unknown,Unknown,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,1.0,,,,,,,,
Rattus norvegicus,221339363,Not Applicable,Stable,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,,5.0,1.0,4.0,,,,1.0,
Castanea sativa,67740523,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanea,,,2.0,,2.0,,,,
Asplenium adiantum-nigrum,83467491,Least Concern,Stable,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,,,1.0,,,,,
Egretta garzetta,166459851,Least Concern,Decreasing,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,,,,,,4.0,3.0,1.0,1.0
Falco peregrinus,210513652,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,,,,,1.0,,,
Pipistrellus pygmaeus,216729008,Least Concern,Stable,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,1.0,,,,,,,,
Xanthoporia radiata,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Xanthoporia,,1.0,,,,,,,
Propolis farinosa,Not Found,Unknown,Unknown,Fungi,Ascomycota,Leotiomycetes,Chaetomellales,Marthamycetaceae,Propolis,,1.0,,,,,,,
Lyophyllum decastes,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,,1.0,1.0,,,,,,
Stellaria media,2758351,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,,,,,2.0,,2.0,,
Allium triquetrum,19355168,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,,,,1.0,,1.0,1.0,
Acer pseudoplatanus,125923004,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,,,7.0,,3.0,,,,
Xylaria longipes,Not Found,Unknown,Unknown,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,,,1.0,,,,,,
Nemastoma bimaculatum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Opiliones,Nemastomatidae,Nemastoma,,,,1.0,,,,,
Gasterosteus aculeatus,221209504,Least Concern,Unknown,Animalia,Chordata,Unknown,Gasterosteiformes,Gasterosteidae,Gasterosteus,,1.0,,,,,,,
Passer domesticus,199147773,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,3.0,,,2.0,,,10.0,7.0,3.0
Spatula clypeata,166200605,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,2.0,,,,1.0,,,,
Poa annua,1217340,Least Concern,Increasing,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,,,,,1.0,,,,1.0
Deroceras reticulatum,85576527,Least Concern,Stable,Animalia,Mollusca,Gastropoda,Stylommatophora,Agriolimacidae,Deroceras,,,,,2.0,,,,
Pulvinaria floccifera,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Coccidae,Pulvinaria,,,,,1.0,,,,
Bathyphantes gracilis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Bathyphantes,,,,1.0,,,,,
Xanthoria parietina,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,,,,,3.0,,1.0,2.0,2.0
Vinealobryum insulanum,Not Found,Unknown,Unknown,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Vinealobryum,,,,,,,1.0,,
Euphorbia peplus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,,,,2.0,,,3.0,
Sturnus vulgaris,166360937,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,10.0,6.0,2.0,6.0,2.0,4.0,5.0,3.0,
Brassica rapa,6718191,Data Deficient,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,,,,,1.0,,,,
Galium aparine,2765924,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,,,,,5.0,,,1.0,
Sylvia atricapilla,166384785,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,1.0,,2.0,,,1.0,11.0,,1.0
Crocus luteus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Crocus,,,,,,2.0,,,
Phigalia pilosaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phigalia,,,,,,,,2.0,
Cardamine hirsuta,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,,,,,1.0,1.0,1.0,,
Badhamia affinis,Not Found,Unknown,Unknown,Protozoa,Mycetozoa,Myxomycetes,Physarales,Physaraceae,Badhamia,1.0,,,,,,,,
Amaurobius similis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Amaurobiidae,Amaurobius,,,,2.0,,,,,
Vulpes vulpes,46190249,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,,,1.0,3.0,1.0,,,,1.0
Arum italicum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arum,,,,,,3.0,,,
Pinus sylvestris,95846320,Least Concern,Stable,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,1.0,1.0,2.0,,1.0,,,3.0,1.0
Pholcus phalangioides,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,,,,,,2.0,,,
Physcia tenella,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Physcia,,,,,1.0,,,,1.0
Schizopora paradoxa,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Schizopora,,,1.0,,,,,,
Epiphyas postvittana,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epiphyas,,,,,,1.0,,1.0,
Sciurus carolinensis,217344510,Not Applicable,Increasing,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,3.0,9.0,9.0,6.0,9.0,6.0,15.0,10.0,11.0
Hedera helix,2758285,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,,6.0,6.0,,5.0,3.0,1.0,5.0,3.0
Exidia nigricans,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,,1.0,,,,,,,
Parus major,264577711,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,9.0,3.0,2.0,6.0,4.0,4.0,1.0,2.0,3.0
Geastrum striatum,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,,1.0,,,,,,,
Inocybe sindonia,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,,,,1.0,,,,,
Quercus robur,3126467,Least Concern,Decreasing,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,,1.0,,,,,,,
Ulex europaeus,86138815,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,,3.0,1.0,,,,,2.0,
Dacrymyces stillatus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,1.0,2.0,,,,,,,
Galanthus nivalis,5551773,Near Threatened,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Galanthus,8.0,7.0,2.0,2.0,,18.0,3.0,1.0,1.0
Crepidotus cesatii,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,2.0,2.0,1.0,1.0,,,,,
Senecio squalidus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,,,,4.0,,,,,
Pinus nigra,95730813,Least Concern,Stable,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,,,,,,,,,2.0
Rosulabryum capillare,Not Found,Unknown,Unknown,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Rosulabryum,,,,,,,3.0,,
Typha latifolia,84300723,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,,,1.0,,,,,,
Bjerkandera adusta,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Bjerkandera,,,,,1.0,,,1.0,1.0
Larus marinus,166273324,Least Concern,Stable,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,,2.0,,,,,,
Alliaria petiolata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,,,,,2.0,,,,1.0
Caltha palustris,42321925,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,,,,,,3.0,,,
Euphorbia amygdaloides,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,,,,,2.0,,,
Agriopis marginaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,,,,,,,,,2.0
Columba palumbus,166231450,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,16.0,14.0,13.0,13.0,3.0,9.0,27.0,12.0,13.0
Hypholoma fasciculare,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,1.0,,,,,2.0,,,
Aphelonyx cerricola,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Aphelonyx,,,,,,,,,3.0
Strix aluco,264546097,Least Concern,Stable,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,,,,,,,2.0,,
Ceratodon purpureus,87768999,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ceratodon,,,,,,2.0,,,
Sarcomyxa serotina,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Sarcomyxaceae,Sarcomyxa,,1.0,,,,,,,
Orbilia auricolor,Not Found,Unknown,Unknown,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,1.0,,,,,,,,
Orthotrichum cupulatum,87727804,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,,,,,1.0,,,,
Laurus nobilis,119996864,Least Concern,Decreasing,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Laurus,,,,,,,,,1.0
Mareca strepera,166198537,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,2.0,,,,,,,,
Geranium molle,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,,,,,1.0,,1.0,,
Cygnus olor,166189862,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,1.0,1.0,1.0,4.0,,2.0,1.0,,2.0
Carex pendula,5853327,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,1.0,,,,4.0,,,,
Lemna minor,120125670,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,,,,,1.0,,,,
Auricularia auricula-judae,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,,1.0,1.0,1.0,5.0,2.0,,2.0,
Larus fuscus,166275319,Least Concern,Increasing,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,1.0,,2.0,5.0,,,1.0,1.0,
Schizophyllum amplum,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,,,,1.0,,,,,
Daldinia concentrica,Not Found,Unknown,Unknown,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,,1.0,1.0,,,,,3.0,
Petasites pyrenaicus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Petasites,,,,,,4.0,,,
Lecidella elaeochroma,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecidella,,,,,,,,,2.0
Phalaris arundinacea,1021826,Least Concern,Unknown,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phalaris,,,1.0,,,,,,
Seifertia azaleae,Not Found,Unknown,Unknown,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Seifertia,,,,,,,,,3.0
Acericerus heydenii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Acericerus,,,,,,,,2.0,
Diplocephalus latifrons,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Diplocephalus,,,,1.0,,,,,
Pentaglottis sempervirens,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pentaglottis,,,2.0,1.0,1.0,3.0,,,
Mycena galopus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,,1.0,,,,,,,
Lapsana communis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lapsana,,,,,1.0,,,,
Troglodytes troglodytes,199569861,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,5.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
Tremella mesenterica,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,,1.0,,,,,,1.0,1.0
Clavulina rugosa,Not Found,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,1.0,,,,,,,
Forficula auricularia,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Dermaptera,Forficulidae,Forficula,,,2.0,,,,,,
Jacobaea vulgaris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jacobaea,,,,,4.0,,,,
Pipistrellus pipistrellus,211012245,Least Concern,Stable,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,1.0,,,,,,,
Sonchus asper,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,,,,,,,,1.0,1.0
Tanacetum parthenium,2758453,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tanacetum,,,,,,,1.0,,
Motacilla cinerea,221313612,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,4.0,1.0,2.0,9.0,1.0,,,,1.0
Vanellus vanellus,166266204,Vulnerable,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,1.0,,,,,,,,
Corvus corone,264543876,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,7.0,2.0,6.0,4.0,1.0,4.0,1.0,1.0,5.0
Peniophora lycii,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,1.0,,,,,,,,
Acanthosoma haemorrhoidale,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,,,,2.0,,,,,
Silene dioica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,,1.0,,,,,,1.0,
Funaria hygrometrica,87770415,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Funaria,,,,,,,1.0,,
