Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Polyommatus icarus,53713553,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Polyommatus,,,1.0,,,,,,
Fulica atra,166239776,Near Threatened,Decreasing,Animalia,Chordata,Aves,Gruiformes,Rallidae,Fulica,4.0,,,,,1.0,,3.0,2.0
Anthriscus sylvestris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,,,,,1.0,,2.0,,
Anser brachyrhynchus,166191820,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,,,,,2.0,,2.0,1.0,10.0
Periparus ater,264545478,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Periparus,2.0,2.0,,,,,2.0,,2.0
Picus viridis,264587872,Least Concern,Stable,Animalia,Chordata,Aves,Piciformes,Picidae,Picus,1.0,,,,,,,,
Gymnoscelis rufifasciata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Gymnoscelis,,,15.0,5.0,1.0,,1.0,,
Osmia bicornis,21154926,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia,,,,,,,,1.0,
Tussilago farfara,2758465,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Tussilago,1.0,,,,,,,1.0,
Leistus ferrugineus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,,,,,,1.0,,,
Lewinskya affinis,87727290,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Lewinskya,2.0,,,,,,,,
Chrysolina americana,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,,,,,,,2.0,,
Orthosia gothica,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,,13.0,35.0,21.0,3.0,,1.0,,
Boeremia hedericola,Not Found,Unknown,Unknown,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,,,,,,,1.0,,
Chroicocephalus ridibundus,Not Found,Unknown,Unknown,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus,6.0,8.0,,2.0,20.0,5.0,1.0,5.0,10.0
Accipiter nisus,210499136,Least Concern,Unknown,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,2.0,1.0,,,,,,,2.0
Agonum fuliginosum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,,,,,,1.0,,,
Lunularia cruciata,87714722,Least Concern,Stable,Plantae,Marchantiophyta,Marchantiopsida,Lunulariales,Lunulariaceae,Lunularia,3.0,,,,,1.0,,,
Veronica filiformis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,,,,,,,,1.0,
Bombylius major,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Bombylius,,,,,,1.0,,,
Bembidion gilvipes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,,,,1.0,,,
Phoenicurus phoenicurus,264539269,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,,,,,,,,1.0,
Streptopelia decaocto,166435449,Least Concern,Stable,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia,4.0,5.0,,2.0,,1.0,4.0,2.0,3.0
Euphorbia characias,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,,,,,1.0,,,
Buteo buteo,210507000,Least Concern,Stable,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,8.0,8.0,,3.0,3.0,4.0,1.0,7.0,
Pica pica,264575751,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Pica,12.0,8.0,,1.0,9.0,2.0,3.0,5.0,12.0
Lilioceris lilii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Lilioceris,,,1.0,,,,5.0,,
Lamium purpureum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,,1.0,,2.0,2.0,2.0,4.0,
Protapion fulvipes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Protapion,,,,,,1.0,,,
Cirsium vulgare,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,,,,,,,1.0,,
Hyacinthoides hispanica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Hyacinthoides,,,,,,,,1.0,
Gonepteryx rhamni,53720018,Least Concern,Decreasing,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Gonepteryx,,2.0,3.0,,2.0,,,,
Egretta garzetta,166459851,Least Concern,Decreasing,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,,,,,,,3.0,,
Falco peregrinus,210513652,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,2.0,,,,,,,1.0
Bombus lucorum,57351523,Least Concern,Stable,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,,1.0,1.0,,,,,,
Monotoma bicolor,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Monotoma,,,,,,1.0,,,
Panolis flammea,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Panolis,,,1.0,,,,,,
Stellaria media,2758351,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,,,,,,3.0,1.0,,
Agonum micans,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,,,,,,1.0,,,
Xanthorhoe designata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Xanthorhoe,,,1.0,,,,,,
Clostera curtula,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Clostera,,,1.0,,,,,,
Passer domesticus,199147773,Least Concern,Decreasing,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,3.0,7.0,1.0,5.0,3.0,6.0,3.0,5.0,5.0
Spatula clypeata,166200605,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,,,,,,,2.0,5.0,
Pterostichus diligens,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,,,,,,1.0,,,
Polygonia c-album,53719853,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia,,1.0,1.0,,,,,1.0,
Poa annua,1217340,Least Concern,Increasing,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poa,,,1.0,,,,,,
Vanessa atalanta,172421220,Least Concern,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,,1.0,,,,,,,
Xanthoria parietina,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Xanthoria,,,,,,2.0,,,
Pentarthrum confine,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Pentarthrum,,,,,,1.0,,,
Myriocoleopsis minutissima,87780885,Least Concern,Increasing,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Myriocoleopsis,,,1.0,,,1.0,,,
Tropiphorus terricola,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Tropiphorus,,,,,,1.0,,,
Armadillidium vulgare,Not Found,Unknown,Unknown,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,,,,,,,,1.0,
Euphorbia peplus,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,,1.0,,,,,,
Phyllotreta exclamationis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Phyllotreta,,,,,,1.0,,,
Philhelius pedissequum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Philhelius,,,,,,,,1.0,
Sturnus vulgaris,166360937,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,8.0,3.0,,2.0,6.0,3.0,2.0,4.0,3.0
Potentilla reptans,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,,,,,,,1.0,,
Galium aparine,2765924,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,,,,,2.0,1.0,,,
Phaedon tumidulus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Phaedon,,,,,,1.0,,,
Scolopax rusticola,166241741,Least Concern,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,,,1.0,,,,,,
Pterostichus vernalis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Pterostichus,,,,,,1.0,,,
Mustela putorius,45214384,Least Concern,Decreasing,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,,,1.0,,,,,,
Palomena prasina,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Palomena,,,,,,,2.0,2.0,
Sylvia atricapilla,166384785,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,,1.0,,,,,2.0,1.0,
Phigalia pilosaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Phigalia,3.0,1.0,4.0,1.0,2.0,,,,
Aglais urticae,53706994,Least Concern,Stable,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais,,6.0,4.0,,,,2.0,,
Stenichnus collaris,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Stenichnus,,,,,,1.0,,,
Xestia triangulum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Xestia,,,,1.0,,,,,
Noctua comes,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,,,1.0,,,,,,
Vulpes vulpes,46190249,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,2.0,2.0,,7.0,,1.0,3.0,1.0,5.0
Theria primaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Theria,,,3.0,2.0,1.0,,,,
Pholcus phalangioides,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,,,,,,,1.0,,
Fissidens taxifolius,87769961,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens,1.0,,,,,,,,
Conistra ligula,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Conistra,2.0,3.0,2.0,1.0,2.0,,,,
Perapion curtirostre,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Perapion,,,,,,1.0,,,
Eupithecia abbreviata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eupithecia,,2.0,3.0,,1.0,,1.0,,
Anemone blanda,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,,,,,,,1.0,,
Sciurus carolinensis,217344510,Not Applicable,Increasing,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,1.0,4.0,13.0,28.0,12.0,8.0,19.0,4.0,12.0
Hedera helix,2758285,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,,3.0,,,2.0,1.0,2.0,,
Apion frumentarium,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Apionidae,Apion,,,,,,1.0,,,
Parus major,264577711,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,5.0,5.0,,3.0,5.0,4.0,4.0,4.0,3.0
Triturus cristatus,200183152,Least Concern,Decreasing,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,,,,,,,,3.0,
Ulex europaeus,86138815,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,,1.0,,,,,2.0,,
Rhyzobius litura,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Rhyzobius,,,,,,1.0,,,
Colostygia pectinataria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Colostygia,,,1.0,,,,,,
Adalia bipunctata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,,,,,,,,2.0,
Lithophane socia,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lithophane,,1.0,2.0,2.0,,,,,
Galanthus nivalis,5551773,Near Threatened,Decreasing,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Galanthus,6.0,1.0,,,,,1.0,1.0,
Metzgeria violacea,87781490,Least Concern,Increasing,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,2.0,,,,,1.0,,,
Leucozona lucorum,149172163,Least Concern,Stable,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Leucozona,,,,,,,,1.0,
Mahonia aquifolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Mahonia,,,,,,,1.0,,
Lamium album,2762544,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamium,,,,,1.0,,2.0,1.0,
Rosulabryum capillare,Not Found,Unknown,Unknown,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Rosulabryum,2.0,,,,,,1.0,,
Pieris rapae,53720063,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,,,1.0,,,,,,
Sorex minutus,227170332,Least Concern,Stable,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,,1.0,,6.0,,,,,
Larus marinus,166273324,Least Concern,Stable,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,,,,2.0,,,,
Alliaria petiolata,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,,,,,,1.0,,1.0,
Caltha palustris,42321925,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,,,,,,,1.0,1.0,
Cochlearia danica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cochlearia,,,,,,,1.0,,
Agriopis marginaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,2.0,1.0,7.0,,3.0,,,,
Columba palumbus,166231450,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,8.0,17.0,,4.0,16.0,6.0,4.0,10.0,16.0
Anser anser,166194209,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,1.0,,,,,3.0,2.0,2.0,
Apopellia endiviifolia,87737999,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Pelliales,Pelliaceae,Apopellia,1.0,,,,,1.0,,,
Lepus europaeus,45187424,Least Concern,Decreasing,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,,1.0,,12.0,,1.0,3.0,,
Bembidion biguttatum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,,,,1.0,,,
Arum maculatum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arum,,,,,2.0,5.0,,,
Strix aluco,264546097,Least Concern,Stable,Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,,,,,,,1.0,,
Orthosia cruda,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,,9.0,17.0,14.0,7.0,,1.0,,
Orthosia incerta,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Orthosia,,5.0,21.0,9.0,1.0,,1.0,,
Demetrias atricapillus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Demetrias,,,,,,1.0,,,
Viola riviniana,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Viola,,,,,,,,1.0,
Mareca strepera,166198537,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,,,,,,,1.0,,
Geranium molle,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,,1.0,,,,,,,
Cryphaea heteromalla,87768617,Least Concern,Increasing,Plantae,Bryophyta,Bryopsida,Hypnales,Cryphaeaceae,Cryphaea,,,1.0,,,,,,
Glechoma hederacea,2762526,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Glechoma,,,,,1.0,,,2.0,
Cygnus olor,166189862,Least Concern,Increasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,3.0,1.0,,,2.0,1.0,2.0,4.0,2.0
Mecinus pascuorum,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Mecinus,,,,,,1.0,,,
Petasites hybridus,2758423,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Petasites,,,,,,,1.0,,
Auricularia auricula-judae,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Auricularia,,,,,,,2.0,,
Mareca penelope,166199138,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,,,,,,,1.0,,
Larus fuscus,166275319,Least Concern,Increasing,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,,,1.0,3.0,4.0,1.0,6.0,1.0
Amblystegium serpens,87766856,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Amblystegium,1.0,,,,,,,,
Enicmus transversus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Enicmus,,,,,,1.0,,,
Longitarsus melanocephalus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Longitarsus,,,,,,1.0,,,
Pentaglottis sempervirens,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pentaglottis,,,,,,,1.0,,
Myodes glareolus,Not Found,Unknown,Unknown,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,,,,,,,,,4.0
Chrysosplenium oppositifolium,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Chrysosplenium,1.0,,,,,,,,
Coccidula rufa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccidula,,,,,,1.0,,,
Cerylon histeroides,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Cerylonidae,Cerylon,,,,,,1.0,,,
Troglodytes troglodytes,199569861,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,7.0,2.0,,3.0,2.0,4.0,1.0,5.0,2.0
Selenia dentaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Selenia,,,6.0,4.0,1.0,,,,
Notaris acridulus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Notaris,,,,,,1.0,,,
Jacobaea vulgaris,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Jacobaea,,,1.0,,,,,,
Lissotriton vulgaris,229006372,Least Concern,Stable,Animalia,Chordata,Amphibia,Caudata,Salamandridae,Lissotriton,,,,,,,3.0,1.0,1.0
Lophocolea bidentata,87714673,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Lophocolea,5.0,,,,,4.0,,,
Tachypodoiulus niger,Not Found,Unknown,Unknown,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Tachypodoiulus,,,,,,,,1.0,
Motacilla cinerea,221313612,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,,,,,2.0,,,1.0,5.0
Vanellus vanellus,166266204,Vulnerable,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,2.0,1.0,,1.0,,2.0,2.0,3.0,
Corvus corone,264543876,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,9.0,5.0,,3.0,13.0,7.0,4.0,5.0,11.0
Nedyus quadrimaculatus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Nedyus,,,,,,1.0,,,
Acanthosoma haemorrhoidale,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Acanthosoma,,,,,,,,2.0,
Mus musculus,115117618,Least Concern,Stable,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,,,,,,,,,12.0
Linaria cannabina,166415057,Least Concern,Increasing,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Linaria,,,,1.0,,1.0,1.0,,
Silene dioica,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,,1.0,1.0,,,,,,
Corticaria impressa,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticaria,,,,,,1.0,,,
Conistra vaccinii,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Conistra,1.0,,1.0,1.0,,,,,
Opisthograptis luteolata,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Opisthograptis,,,,1.0,,,,,
Vinca major,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Vinca,,,,,,1.0,1.0,,
Mustela nivalis,45200499,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,,,,,,,,1.0,2.0
Rhinocyllus conicus,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Rhinocyllus,,,,,,1.0,,,
Noctua pronuba,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,,,,,1.0,,,,
Rhytidiadelphus squarrosus,87737123,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Hypnales,Hylocomiaceae,Rhytidiadelphus,4.0,,,,,,,,
Oulema gallaeciana,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Oulema,,,,,,1.0,,,
Bombus terrestris,57372577,Least Concern,Increasing,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,
Perapion hydrolapathi,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Brentidae,Perapion,,,,,,1.0,,,
