Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Aegilops neglecta,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19389466,Least Concern,Stable,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegilops triuncialis,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19390231,Least Concern,Increasing,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegithalos caudatus,0,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,264587236,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,16,84,1,5,0,0,0,0
Aethionema saxatile,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agapanthia Audinet-Serville,",0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Agapanthia asphodeli,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Agrimonia eupatoria,0,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,2757991,Least Concern,Decreasing,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostemma githago,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aira elegantissima,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajuga chamaepitys,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albinaria grisea,0,Animalia,Mollusca,Gastropoda,Stylommatophora,Clausiliidae,232238687,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcea pallida,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algyroides moreoticus,0,Animalia,Chordata,Squamata,,Lacertidae,137846475,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
Alkanna tinctoria,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,2758021,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alliaria petiolata,1,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allium amethystinum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,68202954,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alopecurus rendlei,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum minus,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum murale,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum strigosum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amanita muscaria,0,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Amaranthus albus,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus blitoides,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus deflexus,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus hybridus,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus viridis,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anacamptis pyramidalis,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,7144790,Least Concern,Decreasing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anagallis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas platyrhynchos,1,Animalia,Chordata,Aves,Anseriformes,Anatidae,166199836,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anax imperator,0,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,208815239,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchusella cretica,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anguis cephallonica,0,Animalia,Chordata,Squamata,,Anguidae,137846721,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Anthemis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthemis brachmanni,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthemis ruthenica,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthocharis cardamines,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211384788,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthocharis gruneri,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211389647,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthoxanthum odoratum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthus trivialis,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,166404675,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anthyllis vulneraria,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apis mellifera,0,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,42463665,Data Deficient,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apium nodiflorum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apodiphus amygdali,0,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aporia crataegi,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211381664,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Aquila chrysaetos,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210501592,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Arabis collina,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis turrita,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis verna,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria leptoclados,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria serpyllifolia,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argynnis pandora,0,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,211400578,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argynnis paphia,0,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,211430868,Least Concern,Stable,0,0,0,0,0,0,0,1,0,20,1,0,0,0,0,0,3,0,3,0
Aricia agestis,0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,211402055,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0
Armeria canescens,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrhenatherum elatius,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,7240670,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arum italicum,0,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asperula laevigata,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspitates ochrearia,0,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Astragalus hamosus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athene noctua,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,210505328,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Auplopus carbonarius,0,Animalia,Arthropoda,Insecta,Hymenoptera,Pompilidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aurinia saxatilis,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena barbata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,6827601,Least Concern,Stable,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena sterilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19395364,Least Concern,Stable,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BOLD:AAC3322,0,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BOLD:AAF1317,0,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BOLD:ACH3538,0,Animalia,Mollusca,Gastropoda,Architaenioglossa,Cochlostomatidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLD:AEG6863,0,Animalia,Arthropoda,Insecta,Lepidoptera,Zygaenidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Baetis Leach,",0,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ballota acetabulosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballota nigra,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,2758141,Least Concern,Stable,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbarea vulgaris,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,42338497,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbus peloponnesius,0,Animalia,Chordata,,Cypriniformes,Cyprinidae,137226537,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellis perennis,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berteroa obliqua,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta vulgaris,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,6690027,Least Concern,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifora testiculata,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bituminaria bituminosa,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstonia perfoliata,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachypodium distachyon,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachypodium sylvaticum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brintesia circe,0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,211425509,Least Concern,Stable,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Briza maxima,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus diandrus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus hordeaceus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus intermedius,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus madritensis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus scoparius,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus sterilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus tectorum,1,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubo bubo,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,210506373,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0
Buglossoides arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunias erucago,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bunium ferulaceum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bupleurum fruticosum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bupleurum glumaceum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0,2,20,18,4,1,0,0,0,0
Calendula arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calepina irregularis,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caliaeschna microstigma,0,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,208832291,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,10
Calopteryx virgo,0,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,208845263,Least Concern,Stable,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,10
Calosoma sycophanta,0,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Calystegia silvatica,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula ramosissima,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula spatulata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula topaliana,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,225911726,Least Concern,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canis aureus,0,Animalia,Chordata,Mammalia,Carnivora,Canidae,214278675,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Capsella bursa-pastoris,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,2758177,Least Concern,Stable,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carcharodus alceae,0,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,211408589,Least Concern,Increasing,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Carcharodus orientalis,0,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,211397756,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Cardamine hirsuta,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,1,0,0,0,0,0,0,0,0,0,0,0,26,13,30,55,1,0,4,0
Carduus australis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduus macrocephalus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduus pycnocephalus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carduus taygeteus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex flacca,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex polyphylla,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex spicata,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpocoris mediterraneus,0,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carthamus lanatus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carum multiflorum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catapodium rigidum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catocala coniuncta,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Catocala nymphagoga,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
