Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2011,Observations_2015,Observations_2017,Observations_2018,Observations_2019,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Delichon urbicum,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264561964,Least Concern,Stable,0,0,0,0,35,0,0,0,0,0,0
Dendrocopos major,0,Animalia,Chordata,Aves,Piciformes,Picidae,166214479,Least Concern,Decreasing,0,0,0,0,3,0,0,0,0,0,0
Dendrocoptes medius,0,Animalia,Chordata,Aves,Piciformes,Picidae,Not Found,Unknown,Unknown,0,0,0,4,3,5,0,0,0,0,0
Emberiza cia,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,264574795,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0
Emberiza cirlus,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,166421322,Least Concern,Decreasing,0,0,0,4,8,3,0,0,0,0,0
Erithacus rubecula,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,166350059,Least Concern,Stable,0,0,0,1,14,1,0,0,0,0,0
Eryngium creticum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Erysimum asperulum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Erysimum graecum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Euphorbia peplis,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Falco tinnunculus,0,Animalia,Chordata,Aves,Falconiformes,Falconidae,210515355,Least Concern,Unknown,0,0,0,4,1,0,0,0,0,1,0
Filago eriocephala,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Filago pyramidata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Fringilla coelebs,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166409759,Least Concern,Stable,0,0,0,30,39,11,0,0,0,0,0
Fuscopannaria mediterranea,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Pannariaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Galium intricatum,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Galium verum,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,2765936,Least Concern,Decreasing,1,0,0,0,0,0,0,0,0,0,0
Garrulus glandarius,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,196469765,Least Concern,Stable,0,0,0,20,20,6,0,0,0,0,0
Gaudinia fragilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Geolycosa vultuosa,0,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Not Found,Unknown,Unknown,0,1,0,0,0,0,0,0,0,0,0
Geranium molle,0,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Geranium rotundifolium,0,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Glaucomaria rupicola,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0
Gomphus schneiderii,0,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,208831646,Least Concern,Unknown,0,0,1,0,0,0,0,0,0,0,0
Gonepteryx rhamni,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211428909,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,1
Guepinia helvelloides,0,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0
Hellenolacerta graeca,0,Animalia,Chordata,Squamata,,Lacertidae,137852588,Least Concern,Unknown,0,1,0,0,0,0,0,0,0,0,0
Herniaria hirsuta,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Hierophis gemonensis,0,Animalia,Chordata,Squamata,,Colubridae,137851210,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0
Hirundo rustica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,166369730,Least Concern,Decreasing,0,0,0,0,2,0,0,0,0,0,0
Hordeum glaucum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Hymenocarpos circinnatus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Hypericum perforatum,1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,2762472,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Hypogymnia tubulosa,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Lacerta trilineata,0,Animalia,Chordata,Squamata,,Lacertidae,207990400,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,1
"Lecanora Ach.,",0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Lecidella carpathica,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Lecidella stigmatea,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Limodorum abortivum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,7145895,Least Concern,Unknown,0,0,0,0,0,0,2,0,0,0,0
Linaria Mill.,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Linum strictum,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Lobaria pulmonaria,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Lotus corniculatus,1,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7243415,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Lotus ornithopodioides,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Loxosceles rufescens,0,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0
Luscinia megarhynchos,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,264563469,Least Concern,Stable,0,0,0,0,3,0,0,0,0,0,0
Malabaila aurea,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Malcolmia graeca,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Malva sylvestris,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,2764355,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Medicago coronata,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7236934,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0
Medicago minima,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7228433,Least Concern,Stable,2,0,0,0,0,0,0,0,0,0,0
Megascolia maculata,0,Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,1,0,0,0,0
Melanelixia glabratula,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Melanohalea elegantula,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Meles meles,0,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,215859004,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0
Melica ciliata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,2,0,0,0,0,0,0,0,0,0,0
Melilotus spicatus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Melitaea didyma,0,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,211425020,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0
Merops apiaster,0,Animalia,Chordata,Aves,Coraciiformes,Meropidae,264578444,Least Concern,Stable,0,0,0,0,0,0,0,0,0,51,0
Micromeria juliana,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Motacilla alba,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,221312886,Least Concern,Stable,0,0,0,0,2,0,0,0,0,0,0
Motacilla cinerea,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,221313612,Least Concern,Stable,0,0,0,8,9,0,0,0,0,0,0
Muscari comosum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0
Muscicapa striata,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,166348124,Least Concern,Decreasing,0,0,0,1,0,0,0,0,1,0,0
Myriolecis pruinosa,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Nephroma laevigatum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Nephromataceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0
"Oedipoda Latreille,",0,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0
Onobrychis aequidentata,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Opopanax chironium,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Orlaya daucoides,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Pallenis spinosa,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,1,0,0,0
Parmelia submontana,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Parus major,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264577711,Least Concern,Stable,0,0,0,10,49,9,0,2,0,0,0
Passer domesticus,1,Animalia,Chordata,Aves,Passeriformes,Passeridae,199147773,Least Concern,Decreasing,0,0,0,0,25,0,0,1,0,1,0
Peltigera collina,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Peltigera praetextata,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Peltigeraceae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,0,0
Periparus ater,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264545478,Least Concern,Stable,0,0,0,0,11,0,0,27,2,0,0
Pernis apivorus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210525956,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0
Petrorhagia glumacea,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Petrorhagia illyrica,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Phalaris minor,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Phleum subulatum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0
Phylloscopus sibillatrix,0,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Not Found,Unknown,Unknown,0,0,0,2,0,0,0,0,0,1,0
Physconia distorta,0,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Physconia venusta,0,Fungi,Ascomycota,Lecanoromycetes,Caliciales,Physciaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Pica pica,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,264575751,Least Concern,Stable,0,0,0,0,4,0,0,0,0,0,0
Picris pauciflora,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Picus viridis,0,Animalia,Chordata,Aves,Piciformes,Picidae,264587872,Least Concern,Stable,0,0,0,3,4,0,0,0,0,0,0
Placynthium nigrum,0,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Placynthiaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Plantago afra,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,2764815,Least Concern,Unknown,1,0,0,0,0,0,0,0,0,0,0
Plantago lagopus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,3,0,0,0,0,0,0,0,0,0,0
Platismatia glauca,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Platycnemis pennipes,0,Animalia,Arthropoda,Insecta,Odonata,Platycnemididae,208828820,Least Concern,Increasing,0,0,1,0,0,0,0,0,0,0,0
Pleurosticta acetabulum,0,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
Podarcis ionicus,0,Animalia,Chordata,Squamata,,Lacertidae,204832746,Least Concern,Unknown,0,0,0,0,1,0,0,0,0,0,0
Podarcis peloponnesiacus,0,Animalia,Chordata,Squamata,,Lacertidae,137855826,Least Concern,Stable,0,0,0,0,0,0,0,0,0,1,0
Poecile lugubris,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264553279,Least Concern,Unknown,0,0,0,0,1,0,0,0,0,0,0
"Poecilimon Fischer,",0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0
