Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2009,Observations_2010,Observations_2011,Observations_2013,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Campanula ramosissima,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
"Camponotus Mayr,",0,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Not Found,Unknown,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,0,3,0,0,0,1,0,0,0,0,0,0,0
Catapodium rigidum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Cecropis daurica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,264559502,Least Concern,Increasing,3,3,0,0,0,0,0,0,0,0,0,0,0
Chenopodium album,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Chenopodium vulvaria,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Chrozophora tinctoria,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,14843003,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Cichorium intybus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,6527012,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Circaetus gallicus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210508101,Least Concern,Unknown,2,0,0,0,0,2,0,0,0,0,0,0,0
Cistus creticus,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0,0
Codringtonia eucineta,0,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,220231765,Vulnerable,Decreasing,0,0,0,0,0,0,0,0,0,0,0,1,0
Consolida ajacis,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Consolida hispanica,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Convolvulus arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Corvus corax,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,166340260,Least Concern,Increasing,2,0,0,0,0,1,0,0,0,0,0,0,0
Corvus cornix,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,Not Found,Unknown,Unknown,10,0,0,0,0,1,0,0,0,0,0,0,0
Corvus monedula,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,166338407,Least Concern,Increasing,20,0,0,0,0,0,0,0,0,0,0,0,0
Crepis dioscoridis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Crepis rubra,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Crucianella latifolia,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Crupina crupinastrum,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Cupressus sempervirens,0,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,83840476,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0
Curruca cantillans,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,200219271,Least Concern,Increasing,4,0,0,0,0,0,0,0,0,0,0,0,0
Curruca melanocephala,0,Animalia,Chordata,Aves,Passeriformes,Sylviidae,166388810,Least Concern,Stable,0,1,0,0,0,1,0,0,0,0,0,0,0
Cyanistes caeruleus,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264532201,Least Concern,Stable,10,2,0,0,0,0,0,0,0,0,0,0,0
Cynoglossum columnae,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Cynosurus echinatus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Dactylis glomerata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Daucus carota,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,19412090,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Dorcadion eugeniae,0,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0
Echium plantagineum,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Emberiza cia,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,264574795,Least Concern,Stable,0,0,0,0,0,3,0,0,0,0,0,0,0
Emberiza cirlus,0,Animalia,Chordata,Aves,Passeriformes,Emberizidae,166421322,Least Concern,Decreasing,3,4,0,0,0,1,0,0,0,0,0,0,0
Eruca vesicaria,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,7230430,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Eryngium campestre,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,1,0,0,0
Erysimum calycinum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Falco tinnunculus,0,Animalia,Chordata,Aves,Falconiformes,Falconidae,210515355,Least Concern,Unknown,2,1,0,0,0,0,0,0,0,0,0,0,0
Filago pyramidata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Fringilla coelebs,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166409759,Least Concern,Stable,10,0,0,0,0,0,0,0,0,0,0,0,0
Galium capitatum,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,234776011,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Galium spurium,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Galium tricornutum,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Garrulus glandarius,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,196469765,Least Concern,Stable,0,1,0,0,0,0,0,0,0,0,0,0,0
Geranium rotundifolium,0,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Glebionis segetum,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Hedypnois rhagadioloides,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Hirundo rustica,0,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,166369730,Least Concern,Decreasing,5,0,0,0,0,0,0,0,0,0,0,0,0
Hordeum bulbosum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19410413,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Hordeum murinum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19409594,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Hyparrhenia hirta,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Hypericum empetrifolium,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0
Hypochaeris achyrophorus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Lagoecia cuminoides,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Lamarckia aurea,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Lamium amplexicaule,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Lathyrus aphaca,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,120105648,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Linaria cannabina,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166415057,Least Concern,Increasing,0,0,0,0,0,1,0,0,0,0,0,0,0
Lolium multiflorum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,7234178,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Lolium rigidum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,7263581,Least Concern,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Lomelosia brachiata,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Lullula arborea,0,Animalia,Chordata,Aves,Passeriformes,Alaudidae,264552604,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Malabaila aurea,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Malcolmia graeca,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,3,0,0,0,0,0,0,0
Malpolon insignitus,0,Animalia,Chordata,Squamata,,Psammophiidae,207992632,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,1
Malva nicaeensis,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Malva sylvestris,0,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,2764355,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago arabica,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7258096,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago coronata,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7236934,Least Concern,Stable,0,0,0,0,0,2,0,0,0,0,0,0,0
Medicago minima,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7228433,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago orbicularis,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7249550,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago polymorpha,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,7273539,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago truncatula,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,19401776,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicago tuberculata,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Melica ciliata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Melilotus graecus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Mentha longifolia,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,42320630,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0,0
Mercurialis annua,0,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Micromeria juliana,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Minuartia hybrida,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Minuartia mesogitana,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Misopates orontium,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Nigella damascena,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Oenanthe melanoleuca,0,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Not Found,Unknown,Unknown,4,0,0,0,0,1,0,0,0,0,0,0,0
Olea europaea,1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,12601269,Data Deficient,Decreasing,0,0,0,0,0,0,0,0,0,1,0,0,0
Onobrychis aequidentata,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Origanum onites,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,2762592,Least Concern,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Orlaya daucoides,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Osyris alba,0,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,2,0,0,0
Oxalis pes-caprae,1,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Pachyiulus flavipes,0,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0
Pallenis spinosa,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Pandion haliaetus,0,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,210525184,Endangered,Increasing,0,0,0,0,17,1,0,0,0,0,0,0,0
Parus major,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264577711,Least Concern,Stable,10,0,0,0,0,0,0,0,0,0,0,0,0
Parvotrisetum myrianthum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Passer domesticus,1,Animalia,Chordata,Aves,Passeriformes,Passeridae,199147773,Least Concern,Decreasing,15,3,0,0,0,0,0,0,0,0,0,0,0
Periparus ater,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264545478,Least Concern,Stable,0,3,0,0,0,0,0,0,0,0,0,0,0
Pernis apivorus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210525956,Least Concern,Stable,1,0,0,0,0,0,0,0,0,0,0,0,0
Petrorhagia prolifera,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Phlomis fruticosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0
Picnomon acarna,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,1,0,0,0
Picris pauciflora,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Pimpinella peregrina,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Plantago lagopus,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Poa trivialis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Podospermum laciniatum,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Poecile lugubris,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264553279,Least Concern,Unknown,3,0,0,0,0,1,0,0,0,0,0,0,0
Polycarpon tetraphyllum,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Polygonum arenarium,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Pterocephalus plumosus,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Raphanus raphanistrum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,7235317,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Rapistrum rugosum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Reseda lutea,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Rhagadiolus stellatus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0
Rosa sempervirens,0,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Rumex pulcher,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,5775036,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0
Sanguisorba minor,0,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Scandix pecten-veneris,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Scantius aegyptius,0,Animalia,Arthropoda,Insecta,Hemiptera,Pyrrhocoridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0,0
Scolymus hispanicus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Securigera securidaca,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
Sedum amplexicaule,0,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0
