Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2010,Observations_2011,Observations_2012,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Olea europaea,1,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,12601269,Data Deficient,Decreasing,0,0,0,0,0,0,0,0,1,0,0,0
Ophrys speculum,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,217034456,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Osyris alba,0,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Oxalis pes-caprae,1,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1
Pachyiulus flavipes,0,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Not Found,Unknown,Unknown,0,0,0,0,1,0,0,0,0,0,0,0
Parus major,0,Animalia,Chordata,Aves,Passeriformes,Paridae,264577711,Least Concern,Stable,0,1,0,0,3,0,0,0,0,0,1,0
Passer domesticus,1,Animalia,Chordata,Aves,Passeriformes,Passeridae,199147773,Least Concern,Decreasing,0,1,0,0,2,0,0,0,0,0,0,0
Pica pica,0,Animalia,Chordata,Aves,Passeriformes,Corvidae,264575751,Least Concern,Stable,0,0,0,0,0,0,0,0,0,8,0,0
Pistacia lentiscus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,2758261,Least Concern,Stable,0,0,0,0,0,0,1,1,0,0,0,0
Pistacia terebinthus,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,79913569,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Podarcis peloponnesiacus,0,Animalia,Chordata,Squamata,,Lacertidae,137855826,Least Concern,Stable,0,0,0,0,0,0,0,0,1,0,0,0
Polistes hellenicus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0
Quercus coccifera,0,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,2296598,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0
Rattus norvegicus,1,Animalia,Chordata,Mammalia,Rodentia,Muridae,221339363,Not Applicable,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Remiz pendulinus,0,Animalia,Chordata,Aves,Passeriformes,Remizidae,199571653,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,1,0,0
Reseda alba,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Rivetina balcanica,0,Animalia,Arthropoda,Insecta,Mantodea,Rivetinidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,1,0
Sambucus racemosa,0,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,135957650,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
Scolopendra cingulata,0,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopendridae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Serinus serinus,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,166411537,Least Concern,Decreasing,0,1,0,0,0,0,0,0,0,0,0,0
Sitta neumayer,0,Animalia,Chordata,Aves,Passeriformes,Sittidae,166363065,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Streptopelia decaocto,1,Animalia,Chordata,Aves,Columbiformes,Columbidae,166435449,Least Concern,Stable,0,1,0,0,0,0,0,0,0,8,0,0
Tettigonia viridissima,0,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,74624843,Least Concern,Increasing,0,0,0,0,1,0,0,0,0,0,0,0
Thomisus onustus,0,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0
Trifolium fragiferum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Trifolium stellatum,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,1,0,0,0
Verbascum phlomoides,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,2766133,Least Concern,Stable,0,0,0,0,1,0,0,0,0,0,0,0
