Species Name,Invasive,Kingdom,Phylum,Class,Order,Family,Assessment ID,Red List Category,Population Trend,Observations_2005,Observations_2006,Observations_2007,Observations_2008,Observations_2009,Observations_2010,Observations_2012,Observations_2013,Observations_2014,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023,Observations_2024,Observations_2025
Alyssum L.,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum montanum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum murale,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyssum strigosum,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amanita caesarea,0,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,125435485,Least Concern,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amaranthus viridis,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ameles heldreichi,0,Animalia,Arthropoda,Insecta,Mantodea,Amelidae,44798432,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anacamptis laxiflora,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,5733232,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anacamptis pyramidalis,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,7144790,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
Anacyclus clavatus,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anagallis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anas crecca,0,Animalia,Chordata,Aves,Anseriformes,Anatidae,200197945,Least Concern,Increasing,0,295,0,0,0,0,133,0,2,0,0,0,12,194,1322,0,55,0,0,0
Anas platyrhynchos,1,Animalia,Chordata,Aves,Anseriformes,Anatidae,166199836,Least Concern,Decreasing,0,57,0,0,0,0,185,0,3,0,10,6,13,50,95,0,8,0,0,0
Anax ephippiger,0,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,208814779,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Anchusa undulata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anchusella cretica,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anemone blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anemone pavonina,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Anemonoides blanda,0,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Anguis cephallonica,0,Animalia,Chordata,Squamata,,Anguidae,137846721,Least Concern,Unknown,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,4,2,8,0
Anguis graeca,0,Animalia,Chordata,Squamata,,Anguidae,47113103,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
Anthaxia sponsa,0,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anthaxia tenella,0,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anthemis L.,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthemis altissima,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthemis arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthocharis gruneri,0,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,211389647,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Anthrax anthrax,0,Animalia,Arthropoda,Insecta,Diptera,Bombyliidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anthus campestris,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,166403902,Least Concern,Unknown,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Anthus spinoletta,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,166407360,Least Concern,Decreasing,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Anthus trivialis,0,Animalia,Chordata,Aves,Passeriformes,Motacillidae,166404675,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anthyllis vulneraria,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antipalus varipes,0,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aphanus rolandri,0,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Apis mellifera,0,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,42463665,Data Deficient,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Apus apus,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,166220766,Near Threatened,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Apus pallidus,0,Animalia,Chordata,Aves,Apodiformes,Apodidae,166221548,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0
Aquila chrysaetos,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210501592,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Arabis L.,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis verna,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arctia festiva,0,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Arctodiaptomus Kiefer,",0,Animalia,Arthropoda,Copepoda,Calanoida,Diaptomidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardea alba,0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,166318863,Least Concern,Increasing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ardea cinerea,0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,166317370,Least Concern,Decreasing,0,7,0,0,8,0,4,0,1,0,0,1,13,3,11,0,2,2,0,0
Ardea purpurea,0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,166318222,Least Concern,Increasing,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
Ardeola ralloides,0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,166320143,Least Concern,Stable,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arenaria L.,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria cretica,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria serpyllifolia,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argynnis pandora,0,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,211400578,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Aricia Reichenbach,",0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Aricia agestis,0,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,211402055,Least Concern,Increasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
Armadillidium vulgare,0,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Armeria canescens,0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armillaria mellea,0,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrhenatherum elatius,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,7240670,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asparagus acutifolius,0,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,56501144,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Asperula L.,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asperula aristata,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asperula boissieri,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Not Found,Unknown,Unknown,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Asplenium ceterach,0,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,83470575,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Astacus astacus,0,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,9338388,Vulnerable,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Astragalus cylleneus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astragalus depressus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Astragalus suberosus,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Asyneuma limonifolium,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athene noctua,0,Animalia,Chordata,Aves,Strigiformes,Strigidae,210505328,Least Concern,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Aubrieta deltoidea,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurinia saxatilis,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena barbata,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,6827601,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avena sterilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,19395364,Least Concern,Stable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avenula (Dumort.),0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aythya ferina,0,Animalia,Chordata,Aves,Anseriformes,Anatidae,205288455,Vulnerable,Decreasing,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0
Aythya nyroca,0,Animalia,Chordata,Aves,Anseriformes,Anatidae,166204665,Least Concern,Unknown,0,0,0,0,3,0,56,0,3,0,6,12,12,12,38,0,9,13,0,0
Ballota acetabulosa,0,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellis perennis,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biebersteinia orphanidis,0,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Biebersteiniaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bituminaria bituminosa,0,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackstonia perfoliata,0,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blysmus compressus,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,42311463,Least Concern,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bombus argillaceus,0,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,57344082,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brachypodium sylvaticum,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Briza humilis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus L.,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus hordeaceus,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bromus madritensis,0,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bufo bufo,0,Animalia,Chordata,Amphibia,Anura,Bufonidae,200188858,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Bufotes viridis,0,Animalia,Chordata,Amphibia,Anura,Bufonidae,200192160,Least Concern,Decreasing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Buglossoides incrassata,0,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bupleurum glumaceum,0,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buteo buteo,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507000,Least Concern,Stable,0,9,0,0,0,0,4,1,2,0,5,1,12,8,30,3,9,7,1,0
Buteo rufinus,0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,210507626,Least Concern,Unknown,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Calendula arvensis,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Calidris pugnax,0,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,166259298,Near Threatened,Decreasing,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calocoris nemoralis,0,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Calopteryx virgo,0,Animalia,Arthropoda,Insecta,Odonata,Calopterygidae,208845263,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Campanula L.,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula celsii,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,225911526,Least Concern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Campanula patula,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Campanula phrygia,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula radicosa,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,225911661,Least Concern,Unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula ramosissima,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula spatulata,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Not Found,Unknown,Unknown,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campanula topaliana,0,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,225911726,Least Concern,Unknown,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canthophorus melanopterus,0,Animalia,Arthropoda,Insecta,Hemiptera,Cydnidae,Not Found,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Capsella bursa-pastoris,0,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,2758177,Least Concern,Stable,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carduelis carduelis,0,Animalia,Chordata,Aves,Passeriformes,Fringillidae,199579742,Least Concern,Increasing,0,0,0,0,5,0,0,3,3,2,20,12,2,0,1,0,0,1,0,0
Carex L.,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Not Found,Unknown,Unknown,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex flacca,0,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Not Found,Unknown,Unknown,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
